Kode,Nama,Sektor,Syariah
COIN,Indokripto Koin Semesta Tbk.,Financials,False
CDIA,Chandra Daya Investasi Tbk.,Infrastructures,False
BLOG,Trimitra Trans Persada Tbk.,Transportation & Logistic,True
MERI,Merry Riana Edukasi Tbk.,Consumer Cyclicals,True
KAQI,Jantra Grupo Indonesia Tbk.,Consumer Cyclicals,True
YUPI,Yupi Indo Jelly Gum Tbk.,Consumer Non-Cyclicals,True
FORE,Fore Kopi Indonesia Tbk.,Consumer Non-Cyclicals,True
MDLA,Medela Potentia Tbk.,Healthcare,True
DKHH,Cipta Sarana Medika Tbk.,Healthcare,True
AYLS,Arkayana Lestari Grup Tbk.,Basic Materials,True
DADA,Diamond Citra Propertindo Tbk.,Properties & Real Estate,True
ASPI,Andalan Sakti Primaindo Tbk.,Properties & Real Estate,True
ESTA,Esta Multi Usaha Tbk.,Consumer Cyclicals,True
BESS,Batulicin Nusantara Maritim Tb,Energy,True
AMAN,Makmur Berkah Amanda Tbk.,Properties & Real Estate,True
CARE,Metro Healthcare Indonesia Tbk,Healthcare,True
PIPA,Multi Makmur Lemindo Tbk.,Industrials,True
NCKL,Trimegah Bangun Persada Tbk.,Basic Materials,True
MENN,Menn Teknologi Indonesia Tbk.,Technology,False
AWAN,Era Digital Media Tbk.,Technology,True
MBMA,Merdeka Battery Materials Tbk.,Basic Materials,True
RAAM,Tripar Multivision Plus Tbk.,Consumer Cyclicals,True
DOOH,Era Media Sejahtera Tbk.,Consumer Cyclicals,True
CGAS,Citra Nusantara Gemilang Tbk.,Energy,True
NICE,Adhi Kartiko Pratama Tbk.,Basic Materials,True
MSJA,Multi Spunindo Jaya Tbk.,Consumer Non-Cyclicals,True
SMLE,Sinergi Multi Lestarindo Tbk.,Basic Materials,True
ACRO,Samcro Hyosung Adilestari Tbk.,Consumer Cyclicals,False
MANG,Manggung Polahraya Tbk.,Infrastructures,False
WIFI,Solusi Sinergi Digital Tbk.,Technology,True
FAPA,FAP Agri Tbk.,Consumer Non-Cyclicals,False
DCII,DCI Indonesia Tbk.,Technology,True
KETR,Ketrosden Triasmitra Tbk.,Infrastructures,True
DGNS,Diagnos Laboratorium Utama Tbk,Healthcare,True
UFOE,Damai Sejahtera Abadi Tbk.,Consumer Cyclicals,True
CHEK,Diastika Biotekindo Tbk.,Healthcare,True
PMUI,Prima Multi Usaha Indonesia Tb,Consumer Cyclicals,True
EMAS,Merdeka Gold Resources Tbk.,Basic Materials,False
PJHB,Pelayaran Jaya Hidup Baru Tbk.,Transportation & Logistic,True
RLCO,Abadi Lestari Indonesia Tbk.,Consumer Non-Cyclicals,False
SUPA,Super Bank Indonesia Tbk.,Financials,False
WBSA,BSA Logistics Indonesia Tbk.,Transportation & Logistic,True
JECX,Nitrasanata Dharma Tbk.,Healthcare,False
JELI,Niramas Utama Tbk.,Consumer Non-Cyclicals,False
EMMI,Esa Medika Mandiri Tbk.,Healthcare,False
BACH,Bach Multi Global Tbk.,Industrials,False
PRDL,Prodia Diagnostic Line Tbk.,Healthcare,False
RANS,Rans Entertainmen Indonesia Tb,Consumer Cyclicals,False
WMPP,Widodo Makmur Perkasa Tbk.,Consumer Non-Cyclicals,False
RMKE,RMK Energy Tbk.,Energy,True
OBMD,OBM Drilchem Tbk.,Basic Materials,True
AVIA,Avia Avian Tbk.,Basic Materials,True
IPPE,Indo Pureco Pratama Tbk.,Consumer Non-Cyclicals,False
NASI,Wahana Inti Makmur Tbk.,Consumer Non-Cyclicals,True
BSML,Bintang Samudera Mandiri Lines,Energy,True
DRMA,Dharma Polimetal Tbk.,Consumer Cyclicals,True
ADMF,Adira Dinamika Multi Finance T,Financials,False
ADMG,Polychem Indonesia Tbk,Basic Materials,True
ADRO,Alamtri Resources Indonesia Tb,Energy,True
AGII,Samator Indo Gas Tbk.,Basic Materials,True
AGRO,Bank Raya Indonesia Tbk.,Financials,False
AGRS,Bank IBK Indonesia Tbk.,Financials,False
AHAP,Asuransi Harta Aman Pratama Tb,Financials,False
AIMS,Artha Mahiya Investama Tbk.,Energy,True
PNSE,Pudjiadi & Sons Tbk.,Consumer Cyclicals,True
POLY,Asia Pacific Fibers Tbk,Consumer Cyclicals,False
POOL,Pool Advista Indonesia Tbk.,Financials,False
PPRO,PP Properti Tbk.,Properties & Real Estate,True
