Kode,Nama,Sektor,Syariah
EMTK,Elang Mahkota Teknologi Tbk.,Technology,False
ENRG,Energi Mega Persada Tbk.,Energy,True
EPMT,Enseval Putera Megatrading Tbk,Consumer Non-Cyclicals,True
ERAA,Erajaya Swasembada Tbk.,Consumer Cyclicals,True
ERTX,Eratex Djaja Tbk.,Consumer Cyclicals,True
ESSA,ESSA Industries Indonesia Tbk.,Basic Materials,True
ESTI,Ever Shine Tex Tbk.,Consumer Cyclicals,False
ETWA,Eterindo Wahanatama Tbk,Basic Materials,False
EXCL,XLSMART Telecom Sejahtera Tbk.,Infrastructures,True
FAST,Fast Food Indonesia Tbk.,Consumer Cyclicals,True
FASW,Fajar Surya Wisesa Tbk.,Basic Materials,True
FISH,FKS Multi Agro Tbk.,Consumer Non-Cyclicals,True
FMII,Fortune Mate Indonesia Tbk,Properties & Real Estate,True
FORU,Fortune Indonesia Tbk,Consumer Cyclicals,False
FPNI,Lotte Chemical Titan Tbk.,Basic Materials,True
GAMA,Aksara Global Development Tbk.,Properties & Real Estate,False
GDST,Gunawan Dianjaya Steel Tbk.,Basic Materials,True
GDYR,Goodyear Indonesia Tbk.,Consumer Cyclicals,True
GEMA,Gema Grahasarana Tbk.,Consumer Cyclicals,True
GEMS,Golden Energy Mines Tbk.,Energy,True
GGRM,Gudang Garam Tbk.,Consumer Non-Cyclicals,False
GIAA,Garuda Indonesia (Persero) Tbk,Transportation & Logistic,True
GJTL,Gajah Tunggal Tbk.,Consumer Cyclicals,True
GLOB,Globe Kita Terang Tbk.,Consumer Cyclicals,False
GMTD,Gowa Makassar Tourism Developm,Properties & Real Estate,True
GOLD,Visi Telekomunikasi Infrastruk,Infrastructures,True
GOLL,Golden Plantation Tbk.,Consumer Non-Cyclicals,False
GPRA,Perdana Gapuraprima Tbk.,Properties & Real Estate,True
GSMF,Equity Development Investment ,Financials,False
GTBO,Garda Tujuh Buana Tbk,Energy,True
GWSA,Greenwood Sejahtera Tbk.,Consumer Cyclicals,True
GZCO,Gozco Plantations Tbk.,Consumer Non-Cyclicals,True
HADE,Himalaya Energi Perkasa Tbk.,Infrastructures,True
HDFA,Radana Bhaskara Finance Tbk.,Financials,False
HERO,DFI Retail Nusantara Tbk.,Consumer Non-Cyclicals,True
HEXA,Hexindo Adiperkasa Tbk.,Industrials,True
HITS,Humpuss Intermoda Transportasi,Energy,True
HMSP,H.M. Sampoerna Tbk.,Consumer Non-Cyclicals,False
HOME,Hotel Mandarine Regency Tbk.,Consumer Cyclicals,False
HOTL,Saraswati Griya Lestari Tbk.,Consumer Cyclicals,False
HRUM,Harum Energy Tbk.,Basic Materials,True
IATA,Karya Pacific Energy Tbk.,Energy,True
IBFN,Intan Baru Prana Tbk.,Industrials,False
IBST,Inti Bangun Sejahtera Tbk.,Infrastructures,True
ICBP,Indofood CBP Sukses Makmur Tbk,Consumer Non-Cyclicals,True
ICON,Island Concepts Indonesia Tbk.,Industrials,True
IGAR,Champion Pacific Indonesia Tbk,Basic Materials,True
IIKP,Inti Agri Resources Tbk,Consumer Cyclicals,True
IKAI,Intikeramik Alamasri Industri ,Industrials,True
IKBI,Sumi Indo Kabel Tbk.,Industrials,True
IMAS,Indomobil Sukses Internasional,Consumer Cyclicals,False
IMJS,Indomobil Multi Jasa Tbk.,Transportation & Logistic,False
IMPC,Impack Pratama Industri Tbk.,Industrials,True
INAF,Indofarma Tbk.,Healthcare,False
INAI,Indal Aluminium Industry Tbk.,Basic Materials,False
INCI,Intanwijaya Internasional Tbk,Basic Materials,True
INCO,Vale Indonesia Tbk.,Basic Materials,True
INDF,Indofood Sukses Makmur Tbk.,Consumer Non-Cyclicals,True
INDR,Indo-Rama Synthetics Tbk.,Consumer Cyclicals,True
INDS,Indospring Tbk.,Consumer Cyclicals,True
INDX,Tanah Laut Tbk,Industrials,True
INDY,Indika Energy Tbk.,Energy,True
INKP,Indah Kiat Pulp & Paper Tbk.,Basic Materials,True
INPC,Bank Artha Graha Internasional,Financials,False
INPP,Indonesian Paradise Property T,Properties & Real Estate,True
INRU,Toba Pulp Lestari Tbk.,Basic Materials,False
INTA,Intraco Penta Tbk.,Industrials,False
INTD,Inter Delta Tbk,Basic Materials,True
INTP,Indocement Tunggal Prakarsa Tb,Basic Materials,True
IPOL,Indopoly Swakarsa Industry Tbk,Basic Materials,True
ISAT,Indosat Tbk.,Infrastructures,True
ISSP,Steel Pipe Industry of Indones,Basic Materials,True
ITMA,Sumber Energi Andalan Tbk.,Energy,True
ITMG,Indo Tambangraya Megah Tbk.,Energy,True
JAWA,Jaya Agra Wattie Tbk.,Consumer Non-Cyclicals,True
JECC,Jembo Cable Company Tbk.,Industrials,True
JIHD,Jakarta International Hotels &,Consumer Cyclicals,True
JKON,Jaya Konstruksi Manggala Prata,Infrastructures,True
JPFA,Japfa Comfeed Indonesia Tbk.,Consumer Non-Cyclicals,True
JRPT,Jaya Real Property Tbk.,Properties & Real Estate,True
JSMR,Jasa Marga (Persero) Tbk.,Infrastructures,True
JSPT,Jakarta Setiabudi Internasiona,Consumer Cyclicals,True
JTPE,Jasuindo Tiga Perkasa Tbk.,Industrials,True
KAEF,Kimia Farma Tbk.,Healthcare,False
